id,idade,sexo,estado_civil,escola,Qte_dependentes,tempo_ultimoservico,trabalha,vl_salario_mil,reg_moradia,casa_propria,vl_imovel_em_mil,Qte_cartoes,Qte_carros,SCORE_CREDITO
708082083,45,F,casado,graduacao,3,40,1,40.08966502,3,0,0,1,1,778
708083283,58,M,solteiro,ensino fundam,0,44,1,66.55764527,3,0,0,1,0,276.3
708084558,46,M,divorciado,doutorado,3,35,1,123.6818209,6,0,0,1,1,401
708085458,34,F,solteiro,mestrado,0,22,1,19.71593432,6,0,0,1,0,347.4
708086958,49,F,casado,mestrado,2,36,0,0,3,1,437,1,2,476
708095133,43,M,na,doutorado,4,32,1,182.7526903,5,0,0,1,1,522.9
708098133,32,F,casado,ensino medio,0,18,1,15.90650381,6,0,0,1,0,186
708099183,37,F,solteiro,graduacao,0,34,1,18.46394127,4,0,0,1,0,377.1
708100533,55,F,solteiro,ensino fundam,0,33,1,24.81280238,3,0,0,1,1,502.2
708103608,52,M,solteiro,graduacao,0,47,1,124.4845057,1,1,1580,1,1,804.6
708104658,46,M,na,ensino medio,1,33,1,65.22653772,4,0,0,1,1,407
708108333,47,F,casado,ensino medio,3,33,0,0,3,1,151,1,1,284
708112008,56,M,casado,ensino medio,2,34,1,133.4936379,4,0,0,1,1,479
708113208,53,F,casado,graduacao,1,34,1,23.40987852,3,1,438,1,1,435
708117933,44,F,divorciado,ensino medio,2,34,1,18.94716722,3,1,247,1,1,345
708119658,49,F,casado,ensino medio,4,36,1,67.41866047,4,0,0,1,1,433
708121908,48,M,casado,mestrado,4,33,1,127.8995108,2,1,205,1,1,533
708123033,41,F,solteiro,ensino medio,0,29,1,37.36272459,2,1,1451,2,0,598.5
708125733,46,F,divorciado,ensino fundam,2,33,1,22.33091725,4,0,0,1,1,478
708128733,50,F,solteiro,doutorado,0,32,1,105.1215661,5,0,0,1,1,567.9
708129933,45,F,solteiro,ensino medio,1,33,1,21.90837743,5,0,0,1,1,423.9
708132783,47,F,solteiro,mestrado,0,40,0,0,6,0,0,1,0,409.68
708134283,35,M,casado,mestrado,2,33,1,16.08221881,4,0,0,1,1,374
708136908,62,F,solteiro,ensino medio,0,51,1,25.40233086,5,0,0,1,0,489.6
708139833,40,M,na,ensino medio,3,28,1,90.39426547,4,0,0,1,1,360
708145908,61,F,casado,ensino medio,0,47,1,76.19443194,3,1,400,1,1,545
708147108,26,M,divorciado,ensino medio,0,35,0,0,6,0,0,1,0,407.2
708148158,39,F,casado,ensino fundam,4,18,0,0,2,1,421,1,1,345.6
708151008,49,F,casado,ensino medio,4,40,1,66.7532924,5,0,0,1,0,351
708152358,54,M,na,doutorado,1,35,1,144.1982694,1,1,802,1,1,638
708153558,46,M,divorciado,doutorado,5,36,1,201.516449,1,1,794,1,1,788.55
708154833,39,F,solteiro,ensino medio,0,24,1,18.0590354,1,1,234,1,1,324.9
708155733,53,M,solteiro,graduacao,0,42,1,192.4198941,4,0,0,1,0,369
708158133,45,M,casado,ensino fundam,3,34,1,123.4999929,3,1,219,1,1,363
708160008,44,M,casado,mestrado,1,38,1,197.4213054,1,1,741,1,1,760.14
708161133,45,M,solteiro,ensino medio,0,31,1,65.87602259,5,0,0,1,0,351
708162558,64,F,casado,mestrado,0,53,0,0,6,0,0,1,0,298.4
708163758,41,M,casado,doutorado,3,36,1,205.6399227,1,1,1309,1,2,958.65
708170508,38,M,casado,ensino medio,2,33,1,88.23548919,2,1,165,1,1,371
708171858,33,F,casado,doutorado,3,26,1,59.68052219,5,0,0,1,1,325
708173433,26,F,solteiro,ensino fundam,0,12,1,56.16638916,4,0,0,1,0,287.1
708174708,38,M,casado,ensino medio,4,25,1,59.56622497,6,0,0,1,0,335
708176208,48,F,casado,ensino medio,1,32,1,70.54005737,4,0,0,1,2,572
708177333,51,F,casado,graduacao,2,33,1,17.79406365,5,0,0,2,1,354
708178608,31,F,casado,ensino medio,0,34,0,0,4,0,0,1,1,357.6
708185208,27,M,solteiro,ensino medio,0,15,1,54.2892725,4,0,0,1,0,175.5
708186933,33,M,solteiro,ensino medio,0,33,1,85.70491833,4,0,0,1,1,351
708190158,38,F,solteiro,graduacao,0,23,1,18.44322126,2,1,275,1,1,276.3
708193008,41,M,solteiro,mestrado,1,27,1,119.9057775,3,0,0,1,1,419.4
708195633,40,M,na,graduacao,2,30,1,122.2265966,5,0,0,2,1,590
708197358,57,M,na,mestrado,2,49,1,147.6766038,4,0,0,1,0,715
708204033,36,F,solteiro,ensino fundam,2,23,1,20.15495867,3,0,0,1,0,280.8
708205083,38,F,casado,graduacao,1,24,1,21.97875982,6,0,0,1,2,539
708207783,50,F,solteiro,graduacao,0,39,1,23.56853224,1,1,468,1,1,493.2
708208758,53,M,solteiro,ensino medio,0,42,1,130.8356754,6,0,0,1,1,403.2
708211383,35,F,solteiro,ensino medio,0,24,1,19.94182871,3,0,0,1,1,414
708212658,38,F,casado,ensino medio,3,15,1,17.09681643,6,0,0,1,1,294
708216108,56,F,casado,ensino fundam,1,43,1,69.80335397,5,0,0,1,0,383
708217758,63,M,casado,ensino medio,2,47,1,105.1992373,5,0,0,1,1,476
708219108,49,M,divorciado,ensino fundam,3,37,1,138.4288789,2,1,730,1,1,642
708219858,39,M,solteiro,ensino medio,0,23,1,64.10902399,6,0,0,1,1,412.2
708222558,37,F,casado,ensino fundam,2,34,1,20.77049853,6,0,0,1,1,474
708223383,47,F,casado,graduacao,3,36,0,0,6,0,0,1,0,405.6
708224133,61,M,solteiro,mestrado,0,47,1,75.01780781,1,1,443,1,0,486.9
