id,idade,sexo,estado_civil,escola,Qte_dependentes,tempo_ultimoservico,trabalha,vl_salario_mil,reg_moradia,casa_propria,vl_imovel_em_mil,Qte_cartoes,Qte_carros,SCORE_CREDITO
779689233,50,M,solteiro,ensino medio,0,32,1,66.40032702,3,0,0,1,0,317.7
779692608,36,M,casado,mestrado,1,23,1,110.0274207,5,0,0,1,0,773
779694183,51,M,casado,ensino fundam,3,32,1,132.4626904,5,0,0,1,0,464
779696883,48,M,divorciado,ensino medio,2,31,1,94.58566991,4,0,0,1,0,337
779701983,49,F,solteiro,ensino medio,0,29,1,71.12225222,1,1,464,1,1,482.4
779703258,41,F,solteiro,ensino medio,1,21,1,22.31161681,3,0,0,1,1,368.1
779707308,35,F,casado,ensino medio,1,17,1,17.28496554,5,0,0,1,0,264
779709033,46,M,casado,ensino fundam,4,26,1,97.7379292,6,0,0,1,1,475
779713608,52,M,casado,graduacao,2,35,1,189.9349682,5,0,0,1,0,272
779715108,46,M,divorciado,ensino fundam,2,27,1,126.6331762,3,1,292,1,1,460
779722308,45,F,casado,graduacao,3,28,1,62.67814958,5,0,0,1,1,325
779725833,42,M,solteiro,ensino medio,0,23,1,96.49923783,4,0,0,1,1,463.5
779727558,49,F,solteiro,ensino fundam,1,31,1,22.35673505,4,0,0,1,0,396.9
779737233,51,M,casado,ensino medio,1,32,1,101.6004654,3,1,397,1,1,518
779739783,43,M,casado,ensino medio,2,25,1,95.95581791,6,0,0,1,1,557
779741883,47,F,solteiro,ensino fundam,0,31,1,22.14608033,6,0,0,1,0,347.4
779743908,44,M,divorciado,ensino fundam,4,27,1,90.74890558,4,0,0,1,1,298
779749908,48,M,casado,ensino fundam,4,31,1,95.57480046,2,1,285,3,1,526
779751258,45,F,casado,ensino medio,2,30,1,28.51291239,2,1,842,1,0,464
779754408,44,M,solteiro,ensino medio,0,31,1,66.2893903,3,0,0,1,0,379.8
779759058,52,M,solteiro,ensino medio,0,38,1,191.8510984,6,0,0,1,1,368.1
779765058,43,M,solteiro,ensino fundam,0,30,1,64.83526684,6,0,0,1,0,347.4
779770683,47,F,divorciado,mestrado,3,33,1,71.17096701,2,1,505,1,1,537
779773533,50,F,casado,ensino fundam,3,33,1,17.91249311,6,0,0,1,0,299
779779083,38,F,solteiro,graduacao,0,24,1,71.33315443,2,1,787,3,0,585.9
779783508,45,M,casado,ensino medio,2,33,1,64.26166037,5,0,0,1,0,412
779791008,43,M,casado,graduacao,3,30,1,120.6387991,6,0,0,1,1,342
779791908,47,F,solteiro,doutorado,1,33,1,70.82088853,6,0,0,1,1,503.1
779803008,41,F,solteiro,graduacao,0,30,1,21.38242585,2,1,1385,1,0,730.8
