ID_CLIENTE,TIPO_FUNCIONARIO,DIA_PAGAMENTO,TIPO_ENVIO_APLICACAO,QUANT_CARTOES_ADICIONAIS,TIPO_ENDERECO_POSTAL,SEXO,ESTADO_CIVIL,QUANT_DEPENDENTES,NIVEL_EDUCACIONAL,ESTADO_NASCIMENTO,CIDADE_NASCIMENTO,NACIONALIDADE,ESTADO_RESIDENCIAL,CIDADE_RESIDENCIAL,BAIRRO_RESIDENCIAL,FLAG_TELEFONE_RESIDENCIAL,CODIGO_AREA_TELEFONE_RESIDENCIAL,TIPO_RESIDENCIA,MESES_RESIDENCIA,FLAG_TELEFONE_MOVEL,FLAG_EMAIL,RENDA_PESSOAL_MENSAL,OUTRAS_RENDAS,FLAG_VISA,FLAG_MASTERCARD,FLAG_DINERS,FLAG_AMERICAN_EXPRESS,FLAG_OUTROS_CARTOES,QUANT_CONTAS_BANCARIAS,QUANT_CONTAS_BANCARIAS_ESPECIAIS,VALOR_PATRIMONIO_PESSOAL,QUANT_CARROS,EMPRESA,ESTADO_PROFISSIONAL,CIDADE_PROFISSIONAL,BAIRRO_PROFISSIONAL,FLAG_TELEFONE_PROFISSIONAL,CODIGO_AREA_TELEFONE_PROFISSIONAL,MESES_NO_TRABALHO,CODIGO_PROFISSAO,TIPO_OCUPACAO,CODIGO_PROFISSAO_CONJUGE,NIVEL_EDUCACIONAL_CONJUGE,FLAG_DOCUMENTO_RESIDENCIAL,FLAG_RG,FLAG_CPF,FLAG_COMPROVANTE_RENDA,PRODUTO,FLAG_REGISTRO_ACSP,IDADE,CEP_RESIDENCIAL_3,CEP_PROFISSIONAL_3,ROTULO_ALVO_MAU=1
36001,C,1,Carga,0,1,F,1,0,0,BA,lauro de freitas,1,BA,LAURO DE FREITAS,ITINGA,Y,81,1,1,N,1,370,0,0,0,0,0,0,0,0,0,0,N, ,NULL,NULL,N, ,0,9,4,11,NULL,0,0,0,0,1,N,25,427,427,1
36002,C,25,Carga,0,1,F,2,2,0,PA,PARAGOMINAS,1,PA,PARAGOMINAS,PROMISSAO III,Y,117,1,1,N,1,295,0,0,0,0,0,0,0,0,0,0,Y, ,NULL,NULL,N, ,0,9,4,11,NULL,0,0,0,0,1,N,35,686,686,0
36003,C,20,0,0,1,F,2,0,0,MG,ALFENAS,1,MG,ALFENAS,ITAPARICA,Y,33,1,5,N,0,450,0,0,0,0,0,0,1,1,0,1,N, ,NULL,NULL,N, ,0,9,2,0,0,0,0,0,0,2,N,54,371,371,1
36004,C,10,0,0,1,M,1,0,0,RS,BAGE,1,RS,Bage,castro alves,Y,58,1,0,N,0,316,0,0,0,0,0,0,1,1,0,1,N, ,NULL,NULL,N, ,0,0,0,0,0,0,0,0,0,1,N,28,964,964,1
36005,C,15,Web,0,1,F,1,0,0,RS,OSORIO,1,RS,Porto Alegre,Vila Nova,Y,54,1,5,N,1,1914,0,0,0,0,0,0,0,0,0,0,Y,RS,PORTO ALEGRE,BOM FIM,Y,54,0,9,2,NULL,NULL,0,0,0,0,1,N,55,917,917,0
36006,C,15,0,0,1,F,1,0,0,CE,CAUCAIA,1,CE,CAUCAIA,NOVO PABUSSU,Y,107,1,10,N,0,2408,0,0,0,0,0,0,0,0,30000,1,Y,CE,FORTALEZA,CENTRO,Y,107,0,9,2,0,0,0,0,0,0,1,N,41,616,616,0
36007,C,5,0,0,1,F,5,0,0,CE,JACOBINA,1,CE,FORTALEZA,MANUEL SATIRO,Y,107,1,1,N,1,351,0,0,0,0,0,0,1,1,0,1,Y, ,NULL,NULL,N, ,0,9,1,11,0,0,0,0,0,1,N,63,607,607,0
36008,C,10,0,0,1,F,1,0,0,SC,FLORIANOPOLIS,1,SC,BIGUACU,FUNDOS,Y,50,1,20,N,1,570,0,0,0,0,0,0,1,1,0,1,Y,SC,BIGUACU,LOT SAO MIGUEL,Y,50,0,9,2,0,0,0,0,0,0,1,N,22,881,881,1
36009,C,10,Carga,0,1,F,5,0,0,CE,maracanau,1,CE,MARACANAU,CONJ TIMBO,Y,107,1,1,N,1,351,0,0,0,0,0,0,0,0,0,0,Y, ,NULL,NULL,N, ,0,11,1,11,NULL,0,0,0,0,1,N,67,619,619,0
36010,C,15,Web,0,1,M,1,0,0,PA,BENEVIDES,1,PA,CENTRO,MARITUBA,Y,117,1,5,N,1,800,0,0,0,0,0,0,0,0,0,0,N, ,NULL,NULL,Y,117,0,NULL,5,NULL,NULL,0,0,0,0,1,N,31,672,672,1
