year,percentage,animal
2011/12,46.30,Dog
2013/14,56.70,Dog
2015/16,54.40,Dog
2017/18,60.20,Dog
2019/20,63.40,Dog
2021/22,69,Dog
2023/24,65.10,Dog
2011/12,38.90,Cat
2013/14,45.30,Cat
2015/16,42.90,Cat
2017/18,47.10,Cat
2019/20,42.70,Cat
2021/22,45.30,Cat
2023/24,46.50,Cat
2011/12,11.90,Freshwater fish
2013/14,14.30,Freshwater fish
2015/16,12.30,Freshwater fish
2017/18,12.50,Freshwater fish
2019/20,11.50,Freshwater fish
2021/22,11.80,Freshwater fish
2023/24,11.10,Freshwater fish
2011/12,5,Small animal
2013/14,6.90,Small animal
2015/16,5.40,Small animal
2017/18,6.70,Small animal
2019/20,5.40,Small animal
2021/22,6.20,Small animal
2023/24,6.70,Small animal
2011/12,5.70,Bird
2013/14,6.90,Bird
2015/16,6.10,Bird
2017/18,7.90,Bird
2019/20,5.70,Bird
2021/22,9.90,Bird
2023/24,6.10,Bird
2011/12,4.60,Reptile
2013/14,5.60,Reptile
2015/16,4.90,Reptile
2017/18,4.70,Reptile
2019/20,4.50,Reptile
2021/22,5.70,Reptile
2023/24,6,Reptile
2011/12,2.40,Horse
2013/14,2.80,Horse
2015/16,2.50,Horse
2017/18,2.60,Horse
2019/20,1.60,Horse
2021/22,3.50,Horse
2023/24,2.20,Horse
2011/12,0.70,Saltwater fish
2013/14,1.80,Saltwater fish
2015/16,1.30,Saltwater fish
2017/18,2.50,Saltwater fish
2019/20,1.60,Saltwater fish
2021/22,2.90,Saltwater fish
2023/24,2.20,Saltwater fish
